code,Title,Points_21,Points_20
CR116,Computer Systems,365.0,332.0
CR150,Business Information Systems,350.0,335.0
CR305,Physical Sciences (Common Entry),260.0,282.0
CR310,IT Management,347.0,297.0
CR325,Pharmaceutical Biotechnology,466.0,398.0
CR333,Nutrition and Health Science,425.0,402.0
CR335,Biological Sciences (Common Entry),473.0,420.0
CR340,Analytical Chemistry with Quality Assurance,327.0,251.0
CR360,Instrument Engineering,301.0,261.0
CR365,Environmental Science and Sustainable Technology,262.0,253.0
CR370,Agri-Biosciences,368.0,397.0
CR400,Accounting,315.0,316.0
CR420,Marketing,290.0,285.0
CR425,International Business with Language,279.0,298.0
CR430,Sport and Exercise Management,402.0,322.0
CR440,Montessori Education,409.0,288.0
CR500,Engineering (Common Entry),475.0,411.0
CR510,Sustainable Energy Engineering,320.0,320.0
CR520,Biomedical Engineering,444.0,444.0
CR560,Architectural Technology,375.0,308.0
CR565,Interior Architecture,431.0,359.0
CR570,Quantity Surveying,375.0,336.0
CR572,Construction Management,300.0,269.0
CR580,Electrical Engineering,342.0,318.0
CR590,Electronic Engineering,329.0,303.0
CR660,Tourism Management,246.0,252.0
CK101,Arts - 3 years,300.0,300.0
CK102,Social Science,434.0,412.0
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,368.0
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,328.0
CK109,English - 3 years or 4 years (International Pathwa,367.0,318.0
CK110,World Languages,488.0,452.0
CK111,Early Years and Childhood Studies,409.0,419.0
CK113,Criminology - 3 years or 4 years (International Pa,464.0,423.0
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,336.0
CK120,Applied Psychology,544.0,533.0
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,466.0
CK122,Government and Political Science,399.0,337.0
CK123,Anthropology,308.0,308.0
CK124,Education - Gaeilge,473.0,463.0
CK125,Sports Studies and Physical Education,564.0,510.0
CK201,Commerce,500.0,477.0
CK202,Accounting,553.0,509.0
CK203,Business Information Systems,455.0,430.0
CK205,Commerce (International) with French,465.0,445.0
CK206,Commerce (International) with German,466.0,420.0
CK207,Commerce (International) with Italian,423.0,388.0
CK208,Commerce (International) with Hispanic Studies,488.0,402.0
CK209,Commerce (International) with Irish,507.0,484.0
CK211,Commerce (International) with Chinese Studies,385.0,397.0
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0
CK213,Food Marketing and Entrepreneurship,466.0,462.0
CK214,International Development,332.0,346.0
CK301,Law (Pathways) -  3 or 4 years,533.0,507.0
CK302,Law and French,545.0,542.0
CK304,Law and Irish,588.0,540.0
CK401,Computer Science,503.0,468.0
CK404,Biological  Earth and Environmental Sciences,500.0,467.0
CK405,Genetics,543.0,487.0
CK406,Chemical Sciences,532.0,485.0
CK407,Mathematical Sciences,566.0,566.0
CK408,Physics and Astrophysics,566.0,554.0
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0
CK411,Data Science and Analytics,531.0,510.0
CK412,Agricultural Science,506.0,496.0
CK504,Nutritional Sciences,555.0,518.0
CK505,Food Science,463.0,441.0
CK600,Engineering,510.0,487.0
CK606,Architecture - Offered jointly by UCC and CIT,543.0,484.0
CK705,Speech and Language Therapy,568.0,520.0
CK706,Public Health Sciences,500.0,454.0
CK712,Children`s and General Nursing (Integrated),565.0,533.0
CK720,Mental Health Nursing,455.0,423.0
CK730,Intellectual Disability Nursing,431.0,419.0
AC120,International Business,294.0,209.0
AC137,Liberal Arts,271.0,252.0
CT125,Computing and IT,242.0,220.0
CT325,Business,253.0,338.0
CM001,Education - Primary Teaching,508.0,484.0
CM010,Education Studies,382.0,319.0
CM020,Early Childhood Education,317.0,327.0
DB500,Computing,234.0,218.0
DB502,Computing (Data Analytics and Big Data),267.0,341.0
DB510,Audio Production and Music Project Management,217.0,234.0
DB512,Business Studies,243.0,218.0
DB514,Business Studies (Law),239.0,252.0
DB515,Business Studies (Human Resource Management),242.0,244.0
DB517,Marketing (Event Management),233.0,238.0
DB521,Accounting and Finance,243.0,225.0
DB524,Business (Information Systems),247.0,342.0
DB526,Business (Cloud Computing),244.0,347.0
DB527,Applied Social Care,254.0,234.0
DB531,Marketing,288.0,293.0
DB562,Psychology,244.0,243.0
DB566,Social Science,262.0,220.0
DB567,Film and Creative Media,245.0,218.0
DB568,Law,254.0,219.0
DB569,Business (Psychology),240.0,252.0
DC001,Education - Early Childhood Education,445.0,440.0
DC009,Arts (Joint Honours) - Humanities,356.0,376.0
DC010,Post Primary Teacher Education - Religious Educati,384.0,441.0
DC011,Post Primary Teacher Education - Religious Educati,409.0,412.0
DC012,Post Primary Teacher Education - Religious Educati,409.0,378.0
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,419.0
DC110,Business Studies International,498.0,465.0
DC111,Business Studies,511.0,488.0
DC113,Global Business (Germany),484.0,462.0
DC114,Global Business (Spain),544.0,522.0
DC115,Accounting and Finance,544.0,510.0
DC117,Aviation Management / Aviation Management with Pil,484.0,476.0
DC118,Gn� agus Gaeilge / Business and Irish,368.0,359.0
DC119,Global Business (Canada),601.0,564.0
DC120,Computing for Business,403.0,357.0
DC121,Computer Science,475.0,400.0
DC123,Data Science,501.0,465.0
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,532.0
DC131,Communication Studies,421.0,407.0
DC132,Journalism,452.0,429.0
DC133,Multimedia,435.0,411.0
DC155,Applied Language and Translation Studies,427.0,387.0
DC161,Analytical Science,498.0,498.0
DC175,Physics General Entry (options),400.0,419.0
DC181,Biotechnology,530.0,499.0
DC190,Electronic and Computer Engineering (with choice o,488.0,413.0
DC193,Mechatronic Engineering,490.0,411.0
DC195,Mechanical and Manufacturing Engineering,500.0,425.0
DC197,Biomedical Engineering,510.0,423.0
DC200,Common Entry into Engineering (Undenominated Entry,511.0,422.0
DC202,Sport Science and Health,511.0,500.0
DC203,Science Education,462.0,435.0
DC204,Athletic Therapy and Training,558.0,522.0
DC205,Physical Education with Biology,565.0,531.0
DC206,Physical Education with Mathematics,521.0,499.0
DC208,Psychology,565.0,532.0
DC209,Health and Society,477.0,465.0
DC216,Mental Health Nursing,420.0,418.0
DC217,Intellectual Disability Nursing,382.0,370.0
DC230,Economics  Politics and Law,431.0,435.0
DC231,International Relations,398.0,397.0
DC232,Law and Society (BCL),469.0,466.0
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0
DC238,Social Sciences and Cultural Innovation,387.0,377.0
DC240,Marketing  Innovation and Technology,499.0,476.0
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0
DC292,Arts (Joint Honours) - Law,400.0,403.0
DC293,Arts (Joint Honours) - International Languages,379.0,377.0
DC295,Arts (Joint Honours) - Politics,349.0,376.0
DL822,Arts Management,254.0,229.0
DL823,Business Management,220.0,235.0
DL825,Applied Psychology,418.0,379.0
DL836,Creative Computing,235.0,219.0
DL837,New Media Studies,298.0,201.0
DL840,Digital Marketing,210.0,228.0
DL841,English and Equality Studies,277.0,276.0
GC200,Business,269.0,252.0
GC201,Accounting and Finance,260.0,303.0
GC230,Computing Science,300.0,335.0
GC300,Business,264.0,429.0
GC400,Business,250.0,248.0
GC401,Accounting and Finance,242.0,240.0
GC403,Law,245.0,244.0
GC407,Business (Marketing),264.0,280.0
GC430,Computing Science,251.0,252.0
GC450,Communications and Media Production,225.0,254.0
AD215,Visual Culture,337.0,377.0
NC003,Computing (Degree Award options),271.0,260.0
NC005,Human Resource Management,301.0,300.0
NC009,Business,300.0,300.0
NC010,Psychology,420.0,400.0
NC020,Marketing Practice,270.0,280.0
NC022,Accounting and Finance,330.0,337.0
NC023,Technology Management (with specialisations),266.0,261.0
NM801,Montessori Education,262.0,220.0
TU801,Sustainable Energy Engineering,235.0,235.0
TU802,Electrical Services and Energy Management,309.0,317.0
TU804,Engineering (Common Entry with Award options),270.0,271.0
TU805,Engineering (General Entry),466.0,402.0
TU807,Computer Engineering in Mobile Systems,274.0,276.0
TU810,Mechatronic Engineering,271.0,270.0
TU811,Product Design,440.0,411.0
TU812,Design Technology and Innovation,278.0,270.0
TU814,Sustainable Transport Management,253.0,285.0
TU831,Architectural Technology,423.0,410.0
TU833,Construction Management,396.0,367.0
TU834,Geographic Science,315.0,288.0
TU835,Planning and Environmental Management,330.0,313.0
TU836,Property Economics (Valuation Surveying),411.0,401.0
TU837,Quantity Surveying and Construction Economics,413.0,385.0
TU851,Analytical Chemistry (Environmental  Forensic and,400.0,349.0
TU852,Chemical Sciences with Medicinal Chemistry,477.0,476.0
TU854,Science (General Entry),510.0,476.0
TU855,Science with Nanotechnology,322.0,331.0
TU856,Computer Science,499.0,476.0
TU857,Computer Science (Infrastructure),403.0,391.0
TU858,Computer Science (International),395.0,377.0
TU859,Computing,251.0,217.0
TU860,Computing (Information Technology),270.0,260.0
TU861,Computing with Language (French/German/Spanish),235.0,308.0
TU862,Computing with Artificial Intelligence Machine Lea,262.0,226.0
TU863,Digital Forensics and Cyber Security,282.0,280.0
TU864,DNA and Forensic Analysis,500.0,400.0
TU865,Cloud Computing,235.0,226.0
TU866,Biomedical and Molecular Diagnostics,522.0,487.0
TU867,Biomedical Science,576.0,524.0
TU868,Clinical Measurement Science,542.0,510.0
TU869,Environmental Health,387.0,336.0
TU871,Optometry,532.0,509.0
TU872,Public Health Nutrition,487.0,491.0
TU874,Mathematical Sciences,294.0,341.0
TU875,Pharmaceutical Healthcare,451.0,400.0
TU876,Pharmaceutical Science,445.0,377.0
TU877,Physics Technology,314.0,308.0
TU878,Physics with Energy and Environment,339.0,337.0
TU879,Physics with Medical Physics and Bioengineering,346.0,351.0
TU880,Physics with Data Science,412.0,578.0
TU881,Food Innovation,309.0,318.0
TU882,Nutraceuticals in Health and Nutrition,380.0,397.0
TU902,Business (options),270.0,271.0
TU903,Business and Management,477.0,463.0
TU904,Business and Law,462.0,462.0
TU905,Economics and Finance,460.0,465.0
TU906,Human Resource Management,386.0,395.0
TU907,Logistics and Supply Chain Management,300.0,300.0
TU910,Accounting,420.0,444.0
TU912,Business Analytics,331.0,330.0
TU914,Business Computing,322.0,324.0
TU917,Law (LLB ) with a Language,356.0,342.0
TU918,Law (LLB),463.0,451.0
TU919,Advertising and Marketing Communications,219.0,228.0
TU920,Digital Marketing,270.0,270.0
TU921,Digital Marketing Technologies,230.0,212.0
TU922,Marketing,412.0,418.0
TU924,E-Commerce in Retailing,307.0,307.0
TU925,Retail and Services Management,307.0,301.0
TU935,Sports Management and Coaching,300.0,300.0
TU936,Sports Science and Health,484.0,410.0
TU941,Botanical Cuisine,311.0,249.0
TU942,Culinary Arts,252.0,212.0
TU943,Culinary Entrepreneurship,261.0,278.0
TU944,Culinary Science,336.0,316.0
TU951,International Hospitality and Tourism Management,244.0,184.0
TU952,International Hospitality Management,309.0,300.0
TU953,Tourism and Digital Marketing,308.0,290.0
TU954,Event Management,326.0,356.0
TU955,Sports and Leisure Management,275.0,217.0
TU965,International Business and Languages,357.0,356.0
TU967,Languages and International Tourism,298.0,308.0
TU981,Creative Digital Media,280.0,280.0
TU982,Media Production and Digital Arts,369.0,320.0
TU983,Film and Broadcasting,462.0,456.0
TU984,Game Design,414.0,381.0
TU985,Journalism,367.0,322.0
TU991,Applied Social Studies in Social Care,326.0,325.0
TU992,Community Development and Youth Work,251.0,251.0
TU995,Early Childhood Education,378.0,367.0
TU996,Social Care,407.0,400.0
TU997,Applied Social Care,320.0,310.0
TR002,Music,508.0,435.0
TR003,History,552.0,497.0
TR005,Philosophy,510.0,442.0
TR016,Deaf Studies,389.0,340.0
TR019,Law and German,577.0,543.0
TR021,Classics  Ancient History and Archaeology,467.0,370.0
TR022,Early and Modern Irish,377.0,398.0
TR023,English Studies,546.0,487.0
TR024,European Studies,566.0,544.0
TR028,Ancient and Medieval History and Culture,498.0,342.0
TR031,Mathematics,579.0,531.0
TR032,Engineering,556.0,510.0
TR035,Theoretical Physics,590.0,543.0
TR039,Computer Science  Linguistics and a Language,443.0,454.0
TR040,Middle Eastern and European Languages and Cultures,520.0,466.0
TR041,Religion,417.0,368.0
TR042,Film,531.0,489.0
TR043,History of Art and Architecture,498.0,393.0
TR055,Radiation Therapy,577.0,543.0
TR061,Chemical Sciences,558.0,517.0
TR062,Geography and Geoscience,495.0,473.0
TR063,Physical Sciences,554.0,498.0
TR081,Business  Economic and Social Studies (BESS),577.0,543.0
TR084,Social Studies (Social Work),497.0,462.0
TR085,Business Studies and French,564.0,540.0
TR086,Business Studies and German,530.0,509.0
TR087,Business Studies and Russian,487.0,474.0
TR089,Business Studies and Polish,391.0,444.0
TR090,Business Studies and Spanish,566.0,531.0
TR091,General Nursing (Meath and St James`s),462.0,429.0
TR095,Mental Health Nursing,442.0,408.0
TR097,Intellectual Disability Nursing,412.0,396.0
TR913,Midwifery,521.0,478.0
DN100,Architecture,555.0,510.0
DN120,Landscape Architecture,463.0,407.0
DN130,City Planning and Environmental Policy,445.0,407.0
DN200,Science (options),577.0,533.0
DN201,Computer Science (Common Entry),554.0,510.0
DN240,Sustainability,510.0,440.0
DN250,Agricultural Science (options),454.0,456.0
DN261,Food Science,531.0,477.0
DN262,Human Nutrition,566.0,531.0
DN310,Veterinary Nursing,521.0,478.0
DN425,Health and Performance Science,544.0,510.0
DN430,Sport and Exercise Management,484.0,455.0
DN451,Children`s and General Nursing (Integrated),533.0,509.0
DN452,Midwifery,510.0,489.0
DN453,Mental Health Nursing,442.0,397.0
DN520,Joint Honours (options),381.0,310.0
DN530,Humanities (options),397.0,340.0
DN541,Modern Languages (options),320.0,303.0
DN600,Law (options),576.0,546.0
DN610,Business and Law,573.0,545.0
DN650,Commerce,555.0,521.0
DN660,Commerce International (options),555.0,517.0
DN700,Social Sciences (options),475.0,421.0
DN710,Economics,534.0,498.0
DN720,Psychology,566.0,530.0
DN750,Social Policy and Sociology,421.0,378.0
DK810,Accounting and Finance,307.0,305.0
DK816,Business Studies,301.0,300.0
DK820,Computing in Games Development,309.0,311.0
DK821,Computing in Software Development,320.0,302.0
DK822,Augmented and Virtual Reality,320.0,307.0
DK830,Building Surveying,305.0,336.0
DK831,Architectural Technology,368.0,389.0
DK832,Construction Management,358.0,387.0
DK843,Engineering (Common Entry),404.0,340.0
DK844,Mechanical Engineering,336.0,305.0
DK845,Electrical and Electronic Engineering,331.0,304.0
DK846,Civil Engineering,371.0,391.0
DK850,International Tourism Management,303.0,317.0
DK861,Arts,302.0,302.0
DK862,Social Care,322.0,301.0
DK863,Creative Media,336.0,308.0
DK864,Film and Television Production,308.0,300.0
DK865,Audio and Music Production,352.0,301.0
DK872,Intellectual Disability Nursing,367.0,336.0
DK874,Mental Health Nursing,398.0,356.0
DK876,Early Childhood Studies,300.0,321.0
DK877,Midwifery,482.0,440.0
DK880,Health and Physical Activity,301.0,328.0
DK882,Agriculture (Award options),342.0,310.0
DK883,Science (Award options),373.0,358.0
DK886,Biopharmaceutical Science,379.0,301.0
DK887,Environmental Science,377.0,330.0
GA181,Accounting,303.0,309.0
GA182,Business,285.0,287.0
GA183,Business Information Systems,298.0,296.0
GA184,Marketing and Sales,300.0,307.0
GA185,Finance and Economics,318.0,293.0
GA186,Business with Entrepreneurship,287.0,280.0
GA187,Rural Enterprise and Agri-Business,291.0,281.0
GA281,Film and Documentary,310.0,304.0
GA282,Heritage Studies,252.0,220.0
GA284,Design,331.0,303.0
GA380,International Hotel Management,218.0,242.0
GA381,International Tourism Management,252.0,278.0
GA382,Culinary and Gastronomic Science,235.0,206.0
GA384,Event Management with Public Relations,230.0,212.0
GA480,Construction Management,302.0,260.0
GA482,Quantity Surveying and Construction Economics,304.0,288.0
GA483,Architectural Technology,281.0,265.0
GA484,Civil Engineering,377.0,290.0
GA580,Software and Electronic Engineering,300.0,300.0
GA680,Mechanical Engineering,400.0,330.0
GA681,Energy Engineering,312.0,293.0
GA682,Biomedical Engineering,331.0,313.0
GA683,Agricultural Engineering,304.0,309.0
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,340.0
GA685,Manufacturing Engineering Design,336.0,309.0
GA780,Applied Freshwater and Marine Biology,366.0,327.0
GA781,Applied Biology and Biopharmaceutical Science,381.0,337.0
GA782,Chemical and Pharmaceutical Science,356.0,336.0
GA783,Physics and Instrumentation,301.0,363.0
GA784,Science (Undenominated),445.0,372.0
GA785,Medical Science,517.0,473.0
GA786,Forensic Science and Analysis,408.0,317.0
GA787,Computing in Software Development,310.0,270.0
GA788,Computing and Digital Media,270.0,274.0
GA789,Agriculture and Environmental Management,340.0,287.0
GA790,Sport and Exercise Science,376.0,356.0
GA791,Public Health Nutrition,368.0,368.0
GA882,Psychiatric Nursing,369.0,367.0
GA885,Outdoor Education,269.0,252.0
GA887,History and Geography,201.0,244.0
GA889,Applied Social Care,265.0,266.0
GA890,Early Childhood Education and Care,281.0,270.0
GA891,Geography and Outdoor Education,261.0,244.0
GA980,Education (Design Graphics and Construction),410.0,377.0
GA984,Furniture Design  Making and Technology - Common E,486.0,284.0
GY101,Arts (Joint-Honours),327.0,300.0
GY104,BSc (Psychology),564.0,523.0
GY105,Arts (History),357.0,301.0
GY109,Arts (Mathematics and Education),413.0,403.0
GY110,Arts (Children and Youth Studies - options),387.0,357.0
GY111,Arts (English and Creative Writing),421.0,330.0
GY113,Arts with Human Rights,413.0,368.0
GY115,Arts with Performing Arts Studies,300.0,387.0
GY118,Arts (Drama  Theatre and Performance Studies),453.0,451.0
GY119,Arts (Journalism),484.0,400.0
GY122,Na D�na (Cumars�id agus Gaeilge),410.0,361.0
GY123,Applied Social Sciences,419.0,358.0
GY125,Arts (Digital Arts and Technology),403.0,328.0
GY127,Arts (Film and Digital Media),430.0,401.0
GY128,Arts (Global Languages),346.0,352.0
GY129,Arts (Global Experience),465.0,420.0
GY130,Arts (Music),462.0,408.0
GY132,Government (Politics  Economics and Law),465.0,407.0
GY133,Education (Computer Science and Mathematical Studi,454.0,422.0
GY134,Geography and Geosystems,425.0,410.0
GY201,Commerce,476.0,433.0
GY202,Commerce (International) with French,520.0,484.0
GY203,Commerce (International) with German,518.0,489.0
GY204,Commerce (International) with Spanish,506.0,495.0
GY206,Business Information Systems (Work Placement and O,509.0,465.0
GY207,Commerce (Accounting) including optional Global Ex,543.0,509.0
GY208,Commerce (Gaeilge),508.0,473.0
GY209,Commerce (Global Experience),551.0,530.0
GY250,Law and Business,510.0,487.0
GY251,Law (BCL),542.0,499.0
GY252,Law (BCL) and Human Rights,565.0,520.0
GY253,Law and Taxation,506.0,509.0
GY254,Law (BCL)  Criminology and Criminal Justice,548.0,530.0
GY301,Science,489.0,433.0
GY303,Biomedical Science,613.0,556.0
GY304,Biotechnology,498.0,465.0
GY308,Environmental Science,431.0,408.0
GY309,Financial Mathematics and Economics,509.0,487.0
GY310,Marine Science,467.0,419.0
GY313,Environmental Health and Safety,412.0,412.0
GY314,Earth and Ocean Sciences,422.0,403.0
GY318,Biopharmaceutical Chemistry,555.0,509.0
GY319,Mathematical Science,543.0,476.0
GY320,Physics (Degree options: Applied Astrophysics Biom,465.0,402.0
GY321,Genetics and Genomics,532.0,508.0
GY350,Computer Science and Information Technology,495.0,403.0
GY401,Engineering (Undenominated),522.0,465.0
GY402,Civil Engineering,533.0,455.0
GY405,Mechanical Engineering,541.0,454.0
GY406,Electronic and Computer Engineering,555.0,510.0
GY408,Biomedical Engineering,554.0,509.0
GY410,Project and Construction Management,431.0,403.0
GY413,Energy Systems Engineering,509.0,502.0
GY414,Electrical and Electronic Engineering,433.0,405.0
GY502,Occupational Therapy,601.0,555.0
GY503,Speech and Language Therapy,578.0,543.0
GY504,Podiatric Medicine,531.0,443.0
GY515,General Nursing (Galway and Portiuncula),502.0,476.0
GY516,Mental Health Nursing,475.0,440.0
GY517,Midwifery,520.0,495.0
LY108,Business - Accounting,312.0,309.0
LY118,Business,288.0,290.0
LY208,Law,300.0,300.0
LY228,Sports and Exercise - Common Entry,290.0,300.0
LY508,Fire Safety Engineering,283.0,276.0
LY518,Quantity Surveying,304.0,301.0
LY528,Construction Management,262.0,271.0
LY608,Mechanical Engineering,300.0,300.0
LY618,Electronic Engineering,321.0,312.0
LY708,Applied Computing,320.0,306.0
LY748,Computer Science,316.0,317.0
LY818,Science - Common Entry,302.0,303.0
LY828,Agriculture - Common Entry,308.0,307.0
LY928,Intellectual Disability Nursing,357.0,326.0
LY968,Early Childhood Care  Health and Education,288.0,303.0
LY978,Health and Social Care - Common Entry,279.0,280.0
MI001,Contemporary and Applied Theatre Studies,209.0,375.0
MI002,Arts,280.0,300.0
MI004,Education - Primary Teaching - International,589.0,577.0
MI005,Education - Primary Teaching,522.0,495.0
MI007,Early Childhood Care and Education,409.0,357.0
MI008,Education and Psychology - Primary Teaching,590.0,588.0
MI009,Education  Business Studies and Accounting,434.0,402.0
MI010,Education  Business Studies and Religious Studies,370.0,368.0
MI011,Education  Gaeilge and Religious Studies,407.0,409.0
MI012,Education  Gaeilge and Business Studies,387.0,401.0
MI013,Education  Mathematics and Gaeilge,509.0,444.0
MI014,Education  Mathematics and Business Studies,476.0,434.0
CI110,Counselling and Psychotherapy,292.0,310.0
CI111,Counselling and Psychotherapy with Addiction Studi,290.0,301.0
CI112,Counselling and Psychotherapy with Youth Studies,325.0,311.0
LC220,Digital Marketing,263.0,262.0
LC223,Law and Taxation,331.0,307.0
LC224,Accounting and Finance,300.0,300.0
LC225,Marketing and Management,298.0,298.0
LC226,Enterprise and Innovation,255.0,234.0
LC233,Software Development,280.0,272.0
LC234,Immersive Digital Media and Spatial Computing,226.0,225.0
LC236,Internet Systems Development,260.0,262.0
LC239,Computer Networks and Systems Management,317.0,307.0
LC241,Construction Management,326.0,255.0
LC242,Property Valuation and Management,308.0,282.0
LC243,Quantity Surveying,278.0,294.0
LC248,Built Environment (Common Entry),300.0,288.0
LC252,Civil Engineering Management,264.0,270.0
LC263,Medical Technology,391.0,294.0
LC265,Forensic and Pharmaceutical Sciences,498.0,413.0
LC266,Drug and Medicinal Product Analysis,252.0,262.0
LC275,Electrical Engineering,361.0,298.0
LC288,Mechanical Engineering,378.0,347.0
LC289,Precision Engineering,261.0,291.0
LC292,Social Care Work,374.0,367.0
LC293,Business Studies with Travel and Tourism Managemen,271.0,307.0
LC294,Business Studies with Event Management,279.0,279.0
LC295,Business Studies with Sports Management,262.0,252.0
LC297,Community and Addiction Studies,272.0,235.0
LC320,Business,381.0,346.0
LC330,Business with Computing,328.0,297.0
LC340,Interior Design,391.0,350.0
LC362,Biotechnology and Biopharmaceutical Sciences,429.0,413.0
LC371,Creative Broadcast and Film Production,325.0,309.0
LC372,Music Technology and Production,377.0,325.0
LC374,Renewable and Electrical Energy Engineering,337.0,318.0
LC375,Industrial Automation and Robotic Systems,309.0,317.0
LC376,Electronic Engineering with Computer Systems,357.0,318.0
LC380,Automotive Engineering and Transport Management,298.0,303.0
LC392,Business Studies in Beauty and Spa Management,328.0,236.0
LC393,Early Childhood Education and Care,309.0,236.0
LC402,Social Care Work,228.0,225.0
LC408,Environmental Science and Climate,279.0,279.0
LC416,Business,260.0,274.0
LC418,Computing - Games Design and Development,260.0,270.0
LC422,Applied Strength and Conditioning,289.0,298.0
LC517,Creative Media and Design,279.0,234.0
LC612,Social Care Work,309.0,320.0
LM020,Law and Accounting,474.0,465.0
LM028,Criminal Justice,420.0,418.0
LM029,Law Plus,530.0,490.0
LM038,Psychology and Sociology,530.0,500.0
LM039,Journalism and Digital Communication,432.0,402.0
LM040,European Studies,409.0,369.0
LM044,Applied Languages,429.0,442.0
LM050,Business Studies (options),451.0,431.0
LM058,Financial Mathematics,468.0,403.0
LM063,Technology Management,410.0,379.0
LM077,Aeronautical Engineering,567.0,520.0
LM090,Physical Education with concurrent Teacher Educati,552.0,532.0
LM091,Languages with concurrent Teacher Education,506.0,517.0
LM092,Science with Teacher Ed (Biology with Physics/Chem,521.0,507.0
LM093,Equine Science,367.0,339.0
LM094,Materials and Architectural Technology with concur,475.0,440.0
LM095,Materials and Engineering Technology with concurre,425.0,367.0
LM096,Science with Teacher Ed (Physical Sciences with Ch,454.0,405.0
LM097,Mathematics and Computer Science with concurrent T,465.0,402.0
LM099,Architecture,520.0,498.0
LM102,Psychology,534.0,509.0
LM115,Chemical and Biochemical Engineering,476.0,454.0
LM118,Electronic and Computer Engineering,445.0,403.0
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402.0,351.0
LM122,Creative Media and Interaction Design (Digital Des,382.0,327.0
LM124,Mathematics (Math Science/Maths and Physics/Econom,455.0,437.0
LM125,Physics (Applied Physics or Mathematics and Physic,489.0,404.0
LM152,Mental Health Nursing,478.0,419.0
LM154,Intellectual Disability Nursing,462.0,420.0
MU001,Theology and Arts,294.0,290.0
MH001,Education - Primary Teaching (Froebel),564.0,507.0
MH101,Arts,338.0,318.0
MH106,Psychology - 3 years,554.0,521.0
MH107,Social Science,390.0,346.0
